tournamentid;matchid;LeagueTypeID;LeagueTypeName;eventid;eventcode;eventname;drawid;drawcode;drawname;team1id;team1name;team2id;team2name;winner;plannedtime;plannedtime_original;locationid;locationname;team1matchpoints;team2matchpoints;team1matches;team2matches;team1sets;team2sets;team1points;team2points;HomeAwaySwapped;teamresult_enteredon;teamresult_user;submatchresult_enteredon;submatchresult_user;teammatchconfirmed_confirmedon;teammatchconfirmed_user;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_PenaltyTeam1AllPoints;flag_PenaltyTeam2AllPoints;flag_PenaltyBothTeams
161323;203;1;gemengd;3;;3de prov;4;;3de prov A;;IZBA 2G;;Ombesa 2G;1;9-10-2016 09:30:00;9-10-2016 09:30:00;;;2;0;1;0;12;7;342;307;False;9-10-2016 22:31:29;club IZBA;9-10-2016 22:42:06;club IZBA;4-12-2016 10:01:27;bc Ombesa;false;false;false;false;false;false;false
161323;243;1;gemengd;3;;3de prov;5;;3de prov B;;Barloke 2G;;LEBAD Kortrijk 4G;1;9-10-2016 09:30:00;10-12-2016 20:00:00;;;2;0;1;0;11;9;378;359;False;;;9-10-2016 13:57:19;BC Barloke;9-10-2016 17:02:05;Lebad Kortrijk;false;false;false;false;false;false;false
161323;450;1;gemengd;5;;5de prov;10;;5de prov B;;Gitse 3G;;Gullegem 3G;1;9-10-2016 09:30:00;9-10-2016 09:30:00;;;2;0;1;0;11;7;334;300;False;;;9-10-2016 15:09:16;Jonas Maes Gitse;9-10-2016 20:40:57;BC Gullegem;false;false;false;false;false;false;false
161323;325;1;gemengd;4;;4de prov;7;;4de prov B;;Ieper 1G;;Gullegem 2G;3;9-10-2016 09:45:00;9-10-2016 09:45:00;;;1;1;0;0;10;9;352;349;False;;;9-10-2016 17:16:46;Brecht Veryser;10-10-2016 21:07:06;BC Gullegem;false;false;false;false;false;false;false
161323;232;1;gemengd;3;;3de prov;5;;3de prov B;;Haneveld;;Tielt 4G;2;9-10-2016 10:00:00;25-9-2016 10:00:00;;;0;2;0;1;5;13;271;352;False;;;9-10-2016 17:07:52;Dominiek Laridon;;;false;false;false;false;false;false;false
161323;260;1;gemengd;3;;3de prov;5;;3de prov B;;SPORTIF 1G;;Waregem 3G;1;9-10-2016 13:45:00;9-10-2016 13:45:00;;;2;0;1;0;11;7;350;323;False;;;9-10-2016 18:12:08;bc sportif vzw;12-10-2016 16:26:54;Waregem BC;false;false;false;false;false;false;false
161323;276;1;gemengd;4;;4de prov;6;;4de prov A;;SPORTIF 2G;;LEBAD Kortrijk 6G;1;9-10-2016 13:45:00;9-10-2016 13:45:00;;;2;0;1;0;12;4;326;260;False;10-10-2016 09:34:41;bc sportif vzw;10-10-2016 09:41:38;bc sportif vzw;;;false;false;false;false;false;false;false
161323;474;1;gemengd;5;;5de prov;9;;5de prov A;;SPORTIF 5G;;PSV 1G;2;9-10-2016 13:45:00;9-10-2016 13:45:00;;;0;2;0;1;6;13;268;362;False;;;9-10-2016 18:30:20;bc sportif vzw;17-10-2016 10:38:55;club PSV ONA;false;false;false;false;false;false;false
161323;271;1;gemengd;4;;4de prov;6;;4de prov A;;Loppem 1G;;Torhout 3G;1;9-10-2016 14:00:00;9-10-2016 14:00:00;;;2;0;1;0;13;5;346;302;False;9-10-2016 18:19:13;Badminton Loppem;9-10-2016 18:27:52;Badminton Loppem;11-10-2016 19:16:36;Albert Bossuyt Torhout;false;false;false;false;false;false;false
161323;38;1;gemengd;1;;1ste prov;1;;1ste prov;;Zuidwest 2G;;Torhout 1G;1;10-10-2016 20:15:00;10-10-2016 20:15:00;;;2;0;1;0;12;6;354;311;False;;;11-10-2016 21:21:56;club Zuid West;12-10-2016 11:56:39;Albert Bossuyt Torhout;false;false;false;false;false;false;false
